name;ring;quadrant;isNew;description;;;
Krew;Assess;Tools;TRUE;"<p><a href=""https://github.com/kubernetes-sigs/krew/"">Krew:</a>krew is the package manager for kubectl plugins.</p>";;;
D3.js;Assess;Languages & Frameworks;TRUE;"<p><a href=""https://d3js.org/"">D3.js</a>: Data-Driven Documents. D3.js is a JavaScript library for manipulating documents based on data. D3 helps you bring data to life using HTML, SVG, and CSS. D3’s emphasis on web standards gives you the full capabilities of modern browsers without tying yourself to a proprietary framework, combining powerful visualization components and a data-driven approach to DOM manipulation.</p>";;;
KubeVirt;Assess;Platforms;TRUE;"<p><a href=""https://kubeless.io/"">Kubeless:</a>The Kubernetes Native Serverless Framework. Build advanced applications with FaaS on top of Kubernetes</p>";;;
Data Vault;Assess;Techniques;TRUE;;;;
Apache Ranger;Assess;Platforms;TRUE;;;;
Cross-Plattform development;Adopt;Techniques;TRUE;;;;
C#;Adopt;Languages & Frameworks;TRUE;;;;
Kibana;Trial;Tools;TRUE;;;;
Kiala;Assess;Tools;TRUE;;;;
Ansible;Assess;Tools;TRUE;;;;
Jenkins X;Assess;Tools;TRUE;;;;
Logstash;Assess;Tools;TRUE;;;;
VMware Tanzu;Assess;Platforms;TRUE;;;;
Open Source;Adopt;Techniques;TRUE;;;;
Prepros;Trial;Languages & Frameworks;TRUE;"<p><a href=""https://prepros.io/"">Prepros:</a> Prepros compiles your files, transpiles your JavaScript, reloads your browsers and makes it really easy to develop & test your websites so you can focus on making them perfect.</p>";;;
Dependency drift fitness function;Adopt;Techniques;TRUE;;;;
Distroless Docker images;Trial;Techniques;TRUE;;;;
Zero trust architecture;Trial;Techniques;TRUE;;;;
Micro frontend anarchy;Trial;Techniques;TRUE;;;;
Backstage;Trial;Platforms;TRUE;;;;
K3s;Adopt;Platforms;TRUE;;;;
Jupyter Enterprise Gateway;Assess;Platforms;TRUE;;;;
Amundsen;Trial;Tools;TRUE;;;;
Trust over IP stack;Assess;Platforms;TRUE;;;;
Tecton;Assess;Platforms;TRUE;;;;
Bitrise;Assess;Tools;TRUE;;;;
Trivy;Adopt;Tools;TRUE;;;;
Anchore;Hold;Tools;TRUE;;;;
SonarQube;Trial;Platforms;TRUE;;;;
Arrow;Trial;Languages & Frameworks;TRUE;;;;
Redis;Trial;Languages & Frameworks;TRUE;;;;
PostgreSQL;Adopt;Languages & Frameworks;TRUE;;;;
Openmetrics;Adopt;Languages & Frameworks;TRUE;;;;
Thanos;Hold;Tools;TRUE;;;;
Eclipse Che;Trial;Platforms;TRUE;;;;
Jenkins;Trial;Platforms;TRUE;;;;
Argo CD;Hold;Platforms;TRUE;;;;
Behavior Driven Testing;Trial;Techniques;TRUE;;;;
